timestamp,owner,repo,kind,severity,title,action,state,url,details
2026-04-24T17:44:57.836899+00:00,940smiley,image-pro-cacaws_copy,issue,info,🚨 Build Failed: Build and Release,observed,open,https://github.com/940smiley/image-pro-cacaws_copy/issues/48,
2026-04-24T17:44:57.836997+00:00,940smiley,image-pro-cacaws_copy,issue,info,🚨 Build Failed: Build and Release,observed,open,https://github.com/940smiley/image-pro-cacaws_copy/issues/47,
2026-04-24T17:44:57.837091+00:00,940smiley,image-pro-cacaws_copy,issue,info,🚨 Build Failed: Build and Release,observed,open,https://github.com/940smiley/image-pro-cacaws_copy/issues/46,
2026-04-24T17:44:57.837186+00:00,940smiley,image-pro-cacaws_copy,issue,info,🚨 Build Failed: Build and Release,observed,open,https://github.com/940smiley/image-pro-cacaws_copy/issues/45,
2026-04-24T17:44:57.837280+00:00,940smiley,image-pro-cacaws_copy,issue,info,🚨 Build Failed: Build and Release,observed,open,https://github.com/940smiley/image-pro-cacaws_copy/issues/44,
2026-04-24T17:44:57.837380+00:00,940smiley,image-pro-cacaws_copy,issue,info,🚨 Build Failed: Build and Release,observed,open,https://github.com/940smiley/image-pro-cacaws_copy/issues/43,
2026-04-24T17:44:57.837477+00:00,940smiley,image-pro-cacaws_copy,issue,info,🚨 Build Failed: Build and Release,observed,open,https://github.com/940smiley/image-pro-cacaws_copy/issues/42,
2026-04-24T17:44:57.837571+00:00,940smiley,image-pro-cacaws_copy,issue,info,🚨 Build Failed: Build and Release,observed,open,https://github.com/940smiley/image-pro-cacaws_copy/issues/41,
2026-04-24T17:44:57.837665+00:00,940smiley,image-pro-cacaws_copy,issue,info,🚨 Build Failed: Build and Release,observed,open,https://github.com/940smiley/image-pro-cacaws_copy/issues/40,
2026-04-24T17:44:57.837760+00:00,940smiley,image-pro-cacaws_copy,issue,info,🚨 Build Failed: Build and Release,observed,open,https://github.com/940smiley/image-pro-cacaws_copy/issues/36,
2026-04-24T17:44:57.837855+00:00,940smiley,image-pro-cacaws_copy,issue,info,🚨 Build Failed: Build and Release,observed,open,https://github.com/940smiley/image-pro-cacaws_copy/issues/35,
2026-04-24T17:44:57.837949+00:00,940smiley,image-pro-cacaws_copy,issue,info,🚨 Build Failed: Build and Release,observed,open,https://github.com/940smiley/image-pro-cacaws_copy/issues/34,
2026-04-24T17:44:57.838044+00:00,940smiley,image-pro-cacaws_copy,issue,info,🚨 Build Failed: Build and Release,observed,open,https://github.com/940smiley/image-pro-cacaws_copy/issues/33,
2026-04-24T17:44:57.838138+00:00,940smiley,image-pro-cacaws_copy,issue,info,🚨 Build Failed: Build and Release,observed,open,https://github.com/940smiley/image-pro-cacaws_copy/issues/32,
2026-04-24T17:44:57.838233+00:00,940smiley,image-pro-cacaws_copy,issue,info,🚨 Build Failed: Build and Release,observed,open,https://github.com/940smiley/image-pro-cacaws_copy/issues/31,
2026-04-24T17:44:57.838328+00:00,940smiley,image-pro-cacaws_copy,issue,info,🚨 Build Failed: Build and Release,observed,open,https://github.com/940smiley/image-pro-cacaws_copy/issues/30,
2026-04-24T17:44:59.485800+00:00,940smiley,Assist-ER,dependabot,medium,pytest has vulnerable tmpdir handling,observed,open,https://github.com/940smiley/Assist-ER/security/dependabot/1,package=pytest ecosystem=pip
2026-04-24T17:45:00.272845+00:00,940smiley,Collectease,dependabot,medium,yaml is vulnerable to Stack Overflow via deeply nested YAML collections,observed,open,https://github.com/940smiley/Collectease/security/dependabot/35,package=yaml ecosystem=npm
2026-04-24T17:45:01.291358+00:00,940smiley,Violent-Monkey_userscripts,dependabot,low,Electron: Crash in clipboard.readImage() on malformed clipboard image data,observed,open,https://github.com/940smiley/Violent-Monkey_userscripts/security/dependabot/17,package=electron ecosystem=npm
2026-04-24T17:45:01.291556+00:00,940smiley,Violent-Monkey_userscripts,dependabot,medium,Electron: AppleScript injection in app.moveToApplicationsFolder on macOS,observed,open,https://github.com/940smiley/Violent-Monkey_userscripts/security/dependabot/15,package=electron ecosystem=npm
2026-04-24T17:45:01.291696+00:00,940smiley,Violent-Monkey_userscripts,dependabot,medium,Electron: Service worker can spoof executeJavaScript IPC replies,observed,open,https://github.com/940smiley/Violent-Monkey_userscripts/security/dependabot/14,package=electron ecosystem=npm
2026-04-24T17:45:01.291824+00:00,940smiley,Violent-Monkey_userscripts,dependabot,medium,Electron: Incorrect origin passed to permission request handler for iframe requests,observed,open,https://github.com/940smiley/Violent-Monkey_userscripts/security/dependabot/13,package=electron ecosystem=npm
